,code,2nd_code,std_price,name
833,A130680,10,3775,TIGER 원유선물Enhanced(H)
834,A130730,10,101275,KOSEF 단기자금
835,A131890,10,16780,KINDEX 삼성그룹동일가중
836,A132030,10,12545,KODEX 골드선물(H)
837,A133690,10,84825,TIGER 미국나스닥100
838,A133820,1,3020,화인베스틸
839,A134380,1,78900,미원화학
840,A134790,1,64100,시디즈
841,A136340,10,104060,KBSTAR 중기우량회사채
842,A136490,1,12050,선진
843,A137310,1,44400,에스디바이오센서
844,A137610,10,6660,TIGER 농산물선물Enhanced(H)
845,A137930,10,14360,마이다스 200커버드콜5%OTM
846,A138040,1,34300,메리츠금융지주
847,A138230,10,12405,KOSEF 미국달러선물
848,A138250,1,13050,엔에스쇼핑
849,A138490,1,13900,코오롱플라스틱
850,A138520,10,11380,TIGER 삼성그룹펀더멘털
851,A138530,10,10415,TIGER LG그룹+펀더멘털
852,A138540,10,24035,TIGER 현대차그룹+펀더멘털
853,A138910,10,8005,KODEX 구리선물(H)
854,A138920,10,10625,KODEX 콩선물(H)
855,A138930,1,8420,BNK금융지주
856,A139130,1,9680,DGB금융지주
857,A139220,10,3040,TIGER 200 건설
858,A139230,10,3400,TIGER 200 중공업
859,A139240,10,8480,TIGER 200 철강소재
860,A139250,10,19025,TIGER 200 에너지화학
861,A139260,10,34890,TIGER 200 IT
862,A139270,10,6900,TIGER 200 금융
863,A139280,10,10935,TIGER 경기방어
864,A139290,10,17400,TIGER 200 경기소비재
865,A139310,10,7030,TIGER 금속선물(H)
866,A139320,10,9820,TIGER 금은선물(H)
867,A139480,1,158500,이마트
868,A139660,10,10090,KOSEF 미국달러선물인버스
869,A139990,1,16850,아주스틸
870,A140570,10,12180,KBSTAR 수출주
871,A140580,10,12110,KBSTAR 우량업종
872,A140700,10,6520,KODEX 보험
873,A140710,10,5785,KODEX 운송
874,A140910,3,11250,에이리츠
875,A140950,10,29755,파워 코스피100
876,A143210,1,5140,핸즈코퍼레이션
877,A143460,10,9260,KINDEX 밸류대형
878,A143850,10,54405,TIGER 미국S&P500선물(H)
879,A143860,10,35700,TIGER 헬스케어
880,A144600,10,5115,KODEX 은선물(H)
881,A145210,1,468,다이나믹디자인
882,A145270,3,1570,케이탑리츠
883,A145670,10,5075,KINDEX 인버스
884,A145720,1,57100,덴티움
885,A145850,10,38905,TREX 펀더멘탈 200
886,A145990,1,65500,삼양사
887,A145995,1,42300,삼양사우
888,A147970,10,23795,TIGER 모멘텀
889,A148020,10,38705,KBSTAR 200
890,A148070,10,118420,KOSEF 국고채10년
891,A150460,10,8170,TIGER 중국소비테마
892,A152100,10,39195,ARIRANG 200
893,A152380,10,68215,KODEX 국채선물10년
894,A152500,10,8925,KINDEX 레버리지
895,A152550,2,1605,한국ANKOR유전
896,A152870,10,39535,파워 200
897,A153130,10,102975,KODEX 단기채권
898,A153270,10,29190,KOSEF 코스피100
899,A153360,4,2615,하이골드3호
900,A155660,1,5590,DSR
901,A155900,4,3050,바다로19호
902,A156080,10,17900,KODEX MSCI Korea
903,A157450,10,100410,TIGER 단기통안채
904,A157490,10,18310,TIGER 소프트웨어
905,A157500,10,4620,TIGER 증권
906,A159800,10,29135,마이티 코스피100
907,A160580,10,10625,TIGER 구리실물
908,A161000,1,12050,애경유화
909,A161390,1,40700,한국타이어앤테크놀로지
910,A161510,10,12405,ARIRANG 고배당주
911,A161890,1,41900,한국콜마
912,A163560,1,8110,동일고무벨트
913,A166400,10,14425,TIGER 200커버드콜5%OTM
914,A167860,10,124400,KOSEF 국고채10년레버리지
915,A168300,10,27240,KTOP 코스피50
916,A168490,2,2145,한국패러랠
917,A168580,10,31750,KINDEX 중국본토CSI300
918,A169950,10,22580,KODEX 차이나A50
919,A170900,1,71300,동아에스티
920,A172580,4,2690,하이골드12호
921,A174350,10,12060,TIGER 로우볼
922,A174360,10,21275,KBSTAR 중국본토대형주CSI100
923,A175330,1,8270,JB금융지주
924,A176710,10,98910,파워 중기국고채
925,A176950,10,48100,KODEX 국채선물10년인버스
926,A178920,1,43500,PI첨단소재
927,A180640,1,57300,한진칼
928,A18064K,1,35700,한진칼우
929,A181480,10,100070,KINDEX 미국다우존스리츠(합성 H)
930,A181710,1,93400,NHN
931,A182480,10,15790,TIGER 미국MSCI리츠(합성 H)
932,A182490,10,12585,TIGER 단기선진하이일드(합성 H)
933,A183190,1,126000,아세아시멘트
934,A183700,10,61885,KBSTAR 채권혼합
935,A183710,10,41805,KBSTAR 주식혼합
936,A185680,10,32530,KODEX 미국S&P바이오(합성)
937,A185750,1,113000,종근당
938,A189400,10,18260,ARIRANG 글로벌MSCI(합성 H)
939,A190620,10,100565,KINDEX 단기통안채
940,A192080,1,72800,더블유게임즈
941,A192090,10,11925,TIGER 차이나CSI300
942,A192400,1,19300,쿠쿠홀딩스
943,A192650,1,9900,드림텍
944,A192720,10,29915,파워 고배당저변동성
945,A192820,1,105500,코스맥스
946,A194370,1,23850,제이에스코퍼레이션
947,A195870,1,45550,해성디에스
948,A195920,10,16690,TIGER 일본TOPIX(합성 H)
949,A195930,10,14780,TIGER 유로스탁스50(합성 H)
950,A195970,10,12410,ARIRANG 선진국MSCI(합성 H)
951,A195980,10,12120,ARIRANG 신흥국MSCI(합성 H)
952,A196030,10,22740,KINDEX 일본TOPIX레버리지(H)
953,A196230,10,104665,KBSTAR 단기통안채
954,A200030,10,21970,KODEX 미국S&P산업재(합성)
955,A200250,10,19360,KOSEF 인도Nifty50(합성)
956,A200880,1,6810,서연이화
957,A203780,10,21120,TIGER 미국나스닥바이오
958,A204210,3,4415,모두투어리츠
959,A204320,1,61600,만도
960,A204450,10,4785,KODEX 차이나H레버리지(H)
961,A204480,10,31775,TIGER 차이나CSI300레버리지(합성)
962,A205720,10,4135,KINDEX 일본TOPIX인버스(합성 H)
963,A207940,1,819000,삼성바이오로직스
964,A208470,10,19530,SOL 선진국MSCI World(합성 H)
965,A210540,1,12400,디와이파워
966,A210780,10,15065,TIGER 코스피고배당
967,A210980,1,29450,SK디앤디
968,A211560,10,18565,TIGER 배당성장
969,A211900,10,14975,KODEX 배당성장
970,A213500,1,13750,한솔제지
971,A213610,10,8955,KODEX 삼성그룹밸류
972,A213630,10,15820,ARIRANG 미국다우존스고배당주(합성 H)
973,A214320,1,58600,이노션
974,A214330,1,2430,금호에이치티
975,A214390,1,9160,경보제약
976,A214420,1,6120,토니모리
977,A214980,10,103280,KODEX 단기채권PLUS
978,A215620,10,12130,HK S&P코리아로우볼
979,A217770,10,5000,TIGER 원유선물인버스(H)
980,A217780,10,7380,TIGER 차이나CSI300인버스(합성)
981,A217790,10,22920,TIGER 가격조정
982,A218420,10,7960,KODEX 미국S&P에너지(합성)
983,A219390,10,4780,KBSTAR 미국S&P원유생산기업(합성 H)
