code,name_x,marginrate,unit,industry,market_x,control,supervision,status,capital,fiscalmonth,groupcode,kospi200kind,section,off,listeddate,maxprice,minprice,ydopen,ydhigh,ydlow,ydclose,creditenabled,parpricechangetype,spac,biglisting,groupname,industryname,membername,종목코드,현재가,시가,고가,저가,거래량,거래대금(원),총상장주식수(천주),외국인보유비율,미결제약정,상한가,하한가,외국인순매매(주),52주최고가,52주최저가,연중주최저가,연중최저가,PER,EPS,자본금(백만원),액면가,배당률,배당수익률,부채비율,유보율,ROE,매출액증가율,경상이익증가율,순이익증가율,매출액(백만원),경상이익(원),당기순이익(원),BPS,영업이익증가율,영업이익(원),매출액영업이익률,매출액경상이익률,이자보상비율,결산년월,분기BPS,분기매출액증가율,분기영업이익증가율,분기경상이익증가율,분기순이익증가율,분기매출액,분기영업이익,분기경상이익(원),분기당기순이익(원),분기매출액영업이익률,분기매출액경상이익률,분기ROE,분기이자보상비율,분기유보율,분기부채비율,최근분기년월,프로그램순매수,당일외국인순매수,당일기관순매수,SPS,CFPS,EBITDA(백만원),신용잔고율,베타계수,당일개인순매수,name_y,close,diff,diffratio,volume,시가총액,시가총액비중,외인비중,지수영향,기여도,market_y,date
000020,동화약품,40,1,009,1,0,0,0,3,12,0,0,1,0,19760324,17700,9600,14200,14300,13400,13650,1,0,0,0,,,,A000020,13900,13750,14100,13700,353774,4915610000,27931470,2.640000104904175,0,17700,9600,38958,25500,13400,21550,13400,12.430000305175781,1118,27931,1000,18.0,1.2899999618530273,26.59000015258789,1094.989990234375,9.029999732971191,-11.420000076293945,107.12000274658203,215.2899932861328,272075,33638000000,28715000000,12130,142.41000366210938,23153000000,8.510000228881836,12.359999656677246,79.25,202012,12220,7.889999866485596,37.95000076293945,68.55999755859375,39.779998779296875,147629,12318000000,17427000000,12550000000,8.34000015258789,11.800000190734863,6.989999771118164,58.22999954223633,1122.0400390625,27.34000015258789,202106,58358,58704,-949,10127,1548,33860,7.920000076293945,0.8399999737739563,-58900,동화약품,13900,250,1.8300000429153442,353774,3882,0.009999999776482582,2.640000104904175,0.005100000184029341,0.003599999938160181,kospi,20211114
000040,KR모터스,100,1,015,1,0,0,0,3,12,0,0,1,0,19760525,1220,660,967,968,942,942,0,0,0,0,,,,A000040,981,950,999,938,305046,295830000,96137368,46.11000061035156,0,1220,660,27561,1630,840,1600,840,0.0,0,48068,500,0.0,0.0,212.72000122070312,0.0,-29.639999389648438,-11.119999885559082,0.0,0.0,117834,-11386000000,-11486000000,411,0.0,1219000000,1.0299999713897705,-9.65999984741211,0.2199999988079071,202012,411,1.559999942779541,-61.04999923706055,0.0,0.0,60692,444000000,-3488000000,-3488000000,0.7300000190734863,-5.75,-17.049999237060547,0.14000000059604645,0.0,235.4199981689453,202106,69958,69958,17,1235,37,4384,0.10000000149011612,1.4299999475479126,-67385,KR모터스,981,39,4.139999866485596,305046,943,0.0,46.11000061035156,0.0012000000569969416,0.012500000186264515,kospi,20211114
000050,경방,40,1,016,1,0,0,0,3,12,0,0,1,0,19560303,17850,9650,13950,14100,13400,13750,1,0,0,0,,,,A000050,13800,13800,13900,13600,21700,298800000,27415270,2.009999990463257,0,17850,9650,1193,15700,11050,15700,11500,13.59000015258789,1015,13707,500,25.0,0.8999999761581421,70.4800033569336,5422.2900390625,1.7599999904632568,-4.260000228881836,-57.91999816894531,-70.13999938964844,329224,22683000000,13025000000,27433,-31.75,21853000000,6.639999866485596,6.889999866485596,3.240000009536743,202012,28230,10.1899995803833,236.86000061035156,190.35000610351562,610.77001953125,176531,21957000000,21362000000,17221000000,12.4399995803833,12.100000381469727,4.610000133514404,10.420000076293945,5546.0400390625,70.7699966430664,202106,-360,-358,152,12604,2077,62019,0.4300000071525574,0.6000000238418579,80,경방,13800,50,0.36000001430511475,21700,3783,0.009999999776482582,2.009999990463257,0.004999999888241291,0.003599999938160181,kospi,20211114
