code,자산총계,부채총계,자본총계,자본금,매출액,매출총이익,영업이익,당기순이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,FCF,EBITDA,EBIT,EV,매출총이익률,영업이익률,ROE,ROA,ROIC,부채비율,자기자본비율,이자보상배율,EPS,BPS,CPS,SPS,DPS,현금배당성향,현금배당수익률,PER,PBR,PCR,PSR,P/FCF,PEG,EV/EBITDA,EV/EBIT,EV/Sales,Open,High,Low,Close,Volume,Change,종목명,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,EV_rank,rank_tot
170900,980667423.9,338570602.3,642096821.6,42219340.0,586728126.97,284340895.11,33994186.44,27102951.02,27031040.79,-82138451.51,-16283579.17,-10007746.48,53959332.44,34419186.1,698276957.15,48.462,5.7940000000000005,4.209,2.725,4.9018,52.729,65.475,6.54544,3209.7791,76092.33771,3201.26283,69485.70572,1000.0,31.13458,1.128668,27.60315,1.16437,27.67658,1.27508,-74.75476,0.30166000000000004,12.9408,20.28743,1.19012,46200.0,46550.0,45000.0,46550.0,158771.0,1.8290766208251474,동아에스티,174.0,217.0,263.0,209.0,173.0,126.0,863.0
003410,3326801072.63,1637119316.28,1689681756.35,50385959.5,1470799173.93,415795096.11,250161895.1,138181424.91,385891045.5,-138803667.75,-285512895.5,230340245.6,425259796.1,193684347.92,4207972533.67,28.27,17.009,7.916,4.128,7.6862,96.889,50.79,8.32578,273.51781,3364.01148,763.83692,2911.31583,440.0,160.42315,6.586826,24.42254,1.9857200000000002,8.74532,2.2945,14.65112,-1.0352,9.89506,21.72593,2.8610100000000003,7710.0,7730.0,7420.0,7510.0,2617179.0,1.5580912863070535,쌍용C&E,230.0,255.0,181.0,199.0,3.0,50.0,865.0
118000,138292817.27,62166694.01,76126123.26,26780080.0,26895986.46,2462628.54,-2440808.36,11221115.17,3794995.86,-57487903.49,50169238.72,3704029.96,-2183895.36,15021162.59,153814188.935,9.156,-9.075,20.119,10.784,-36.4734,81.663,55.047,-0.66041,226.78284,1268.63537,76.484656,542.063876,0.0,0.0,0.0,11.147623,1.99276,33.053545,4.663821,33.865296,0.20144299999999998,-70.43112,10.23983,5.71885,9071.0,9071.0,8772.0,8772.0,289932.0,2.5837997054491892,우리들휴브레인,232.0,281.0,271.0,85.0,272.0,237.0,869.0
002790,7788743600.02,1516700821.9,6272042778.12,47997075.0,4930083149.86,3558957589.19,150661048.49,22047682.16,666039869.0,-430147306.31,-436859315.61,471045668.44,684820048.49,42215396.42,3681799309.31,72.189,3.056,0.314,0.274,1.8793000000000002,24.182,80.527,6.57537,108.14528,36217.60331,6938.33811,51358.16245,230.0,234.68301,0.418944,507.65046,1.51584,7.91256,1.06896,11.18804,-7.95734,5.3763,87.21461,0.7468,65000.0,66100.0,64400.0,65600.0,117754.0,1.2964426877470352,아모레G,199.0,205.0,170.0,295.0,232.0,55.0,869.0
003720,108988416.83,63239099.92,45749316.91,17000000.0,117657776.92,15850525.85,1317049.49,1150858.14,10777287.1,-7400742.64,-980071.13,2818156.62,8227926.49,1079120.76,117384300.68,13.472,1.119,0.489,1.066,2.2324,138.23,41.976,2.7047,6.3154900000000005,1297.88957,316.97903,3460.52285,0.0,0.0,0.0,410.8942,1.9994,8.18666,0.7498900000000001,31.3077,15.68195,14.26657,108.77772,0.9976700000000001,2775.0,2775.0,2710.0,2750.0,88216.0,2.9348986125933836,삼영화학,233.0,168.0,174.0,294.0,272.0,260.0,869.0
005360,195681830.77,105892494.04,89789336.73,18897307.0,127762923.0,40981353.45,40112.87,51406.54,8330623.0,-4284305.85,-2154251.65,2141696.3,6433139.44,3398521.78,162439923.28,32.076,0.031,0.088,0.026000000000000002,0.2391,117.934,45.885,0.01305,4.11392,4629.55404,440.83652,6760.90636,70.0,1701.53927,1.2750460000000001,1334.49344,1.18586,12.4536,0.8120200000000001,48.44114,-19.24968,25.25049,47.79723,1.27141,5270.0,5970.0,5230.0,5640.0,7298467.0,2.1242937853107344,모나미,176.0,178.0,219.0,297.0,162.0,230.0,870.0
006890,140679345.21,16476999.71,124202345.5,5800000.0,47060538.8,17892507.21,7702115.32,7734494.04,8776365.31,-11294884.68,-2271230.82,5144134.36,9984883.32,9325274.83,124157410.36,38.02,16.366,6.374,5.599,16.2653,13.266,88.288,687.75027,666.76673,10958.48353,756.58322,4056.943,200.0,29.30741,1.413428,21.22181,1.29124,18.7025,3.48785,31.90819,0.31332000000000004,12.43454,13.31408,2.63825,13850.0,13900.0,13500.0,13500.0,80778.0,2.903225806451613,태경케미컬,183.0,270.0,236.0,187.0,150.0,258.0,876.0
271560,2665406433.69,767898167.76,1897508265.93,19768066.0,2229819933.63,953061987.66,376122012.8,274562274.38,460996136.98,-163179778.94,-86498675.02,309185410.04,515085999.05,393652269.58,4721494620.22,42.742,16.868,15.501,10.73,16.0027,40.469,71.19,51.08751,6768.14711,46294.25173,11660.12237,56399.54697,750.0,11.07926,0.604839,18.32111,2.67852,10.63454,2.1986,15.85612,0.66481,9.16642,11.99407,2.11743,25000.0,26500.0,24950.0,26000.0,103898.0,1.8840579710144925,오리온,256.0,253.0,204.0,168.0,217.0,47.0,881.0
004720,135543934.05,51973964.57,83569969.48,7356466.5,96614310.44,53599087.91,-669904.65,9124058.82,2675611.64,-7720667.82,19567694.05,-1663525.93,2292903.35,11379174.37,157212948.22,55.477,-0.6930000000000001,13.209,7.746,1.0432,62.192,61.655,-2.31361,672.93298,5693.26543,195.23666,7049.84799,0.0,0.0,0.0,16.79216,1.9848,57.87847,1.60287,-93.09162,0.8559700000000001,68.56501,13.81585,1.6272199999999999,8940.0,9000.0,8830.0,8900.0,106968.0,1.1124999999999998,팜젠사이언스,229.0,234.0,286.0,154.0,272.0,235.0,903.0
018260,9154919055.54,2295810891.31,6859108164.23,38688900.0,11017431525.52,1689748388.81,871618076.21,452908951.33,979402851.89,-545187284.3,-351039848.78,743933751.49,1322909676.21,836943265.94,9983328618.38,15.337,7.911,6.711,4.983,15.5825,33.471,74.923,53.27779,5731.03114,86218.6341,12657.41404,142384.91564,2400.0,41.86234,1.344538,31.14623,2.07032,14.10241,1.25364,18.56609,-5.37915,7.54649,11.92832,0.9061400000000001,193500.0,195000.0,190500.0,191000.0,93605.0,1.3546099290780138,삼성에스디에스,241.0,215.0,228.0,220.0,155.0,28.0,904.0
000890,149117625.67,70469241.24,78648384.43,63737441.5,78563804.54,26237788.48,1747504.78,1716779.5,8232027.89,-350013.74,-14628269.48,3873947.21,11646630.78,3131617.14,150979212.891,33.397,2.224,2.215,1.1,1.6433,89.6,52.743,0.84177,13.47032,617.18725,64.59073,616.43302,0.0,0.0,0.0,68.07559,1.48577,14.19708,1.48759,30.1684,-1.3463,12.96334,48.21126,1.9217400000000002,1110.0,1120.0,1065.0,1080.0,8109996.0,1.4229249011857705,보해양조,195.0,226.0,229.0,263.0,272.0,243.0,913.0
011790,5406405840.53,3491292259.47,1915113581.07,189341490.0,2702184519.73,509227883.49,190788258.58,73620866.79,337112812.6,-1055432867.8,1073752399.0,35244827.74,386637486.5,291528548.46,5713074710.06,18.845,7.061,2.205,1.57,4.4222,182.302,35.423,2.1814,988.70549,50573.41921,8976.38325,71951.7116,1000.0,96.28333,1.06383,95.07381,1.85868,10.47192,1.30643,100.16277,-3.12832,14.77631,19.59696,2.11424,130500.0,133500.0,129500.0,133500.0,341648.0,3.5505319148936163,SKC,224.0,218.0,200.0,272.0,176.5,39.0,914.0
004830,105039887.13,38803664.35,66236222.78,8536000.0,117682291.65,17715727.17,5564655.02,3621883.79,5498711.55,-974346.91,155202.82,3979228.76,9421016.58,4195302.48,147048994.4,15.054,4.729,5.606,3.484,7.7598,58.584,63.058,7.46164,212.15347,4278.43081,322.08948,6893.29262,45.0,19.42702,0.573248,37.00152,1.83478,24.37211,1.13879,33.67869,0.40843,15.60861,35.05087,1.24954,24450.0,26650.0,24050.0,25950.0,3540988.0,11.82232346241458,덕성,223.0,209.0,253.0,234.0,219.0,246.0,919.0
192650,604275054.5,302024084.76,302250969.73,6659754.3,1045847643.33,83307597.17,19695004.0,10681010.96,23951300.0,-45858970.93,25798287.51,-35838698.88,62229199.0,14393562.85,881324933.14,7.966,1.883,8.789,2.177,4.6613,99.925,50.019,5.22783,340.01545,4071.78315,380.10786,16597.63378,100.0,30.53817,0.8547009999999999,34.4102,2.87343,30.78074,0.7049200000000001,-20.57102,-2.94099,14.16256,61.23049,0.84269,33650.0,33700.0,33050.0,33400.0,152322.0,2.474074074074074,드림텍,264.0,162.0,269.0,227.0,196.0,116.0,922.0
338100,93001799.72,96090.65,92905709.07,9330000.0,2855122.18,2855122.18,2729411.69,2731823.82,2062624.29,,-2369820.0,2062624.29,2729411.69,2729411.33,78706381.08,100.0,95.597,2.946,2.943,,0.10300000000000001,99.897,,146.39999,4978.86972,110.53721,153.00762,119.0,81.28416,2.735632,29.71312,0.8736900000000001,39.35326,28.42996,39.35326,,28.83639,28.83639,27.56673,26400.0,26450.0,25600.0,25700.0,225177.0,0.8862068965517242,NH프라임리츠,137.0,296.0,276.0,216.0,71.0,277.0,925.0
052690,700291402.12,201216889.49,499074512.62,7644000.0,431722625.74,122010142.84,29571387.15,20160083.36,16825529.59,-33916011.74,-13113940.09,12627648.12,53954062.81,24823932.03,618782699.0,28.261,6.85,,,,40.318,71.267,568.37447,527.4747,13118.52082,440.2284,11295.72542,282.0,53.2154,1.5798320000000001,33.84049,1.36067,40.54713,1.58024,54.02645,,11.4687,24.92686,1.43329,23350.0,23800.0,22700.0,23000.0,437944.0,1.5181518151815174,한전기술,189.0,233.0,278.0,226.0,136.0,135.0,926.0
192820,1189042897.95,917142782.63,271900115.33,5024754.5,1382880688.52,210839293.17,66641426.85,-29053381.42,41459691.39,-64605594.45,50675397.11,-17499323.94,112461495.32,18837267.96,1509018623.43,15.246,4.819,6.23,-2.428,-2245.1265,337.309,22.867,3.32465,2082.031708,33405.02194,4037.758072,134678.707931,0.0,0.0,0.0,46.845412,2.91973,24.15539,0.7241900000000001,-57.229352,10.974574,13.41809,80.10815,1.09121,9750.0,10300.0,9570.0,10250.0,1961541.0,3.8752362948960304,코스맥스,265.0,165.0,251.0,247.0,272.0,91.0,928.0
009240,1229509761.19,600608098.24,628901662.95,23533928.0,2067468662.7,542309365.34,93106900.59,66840591.85,193138068.78,-100070335.47,-132116542.35,177138939.17,157475430.59,95240346.96,2409513303.96,26.231,4.503,10.834,5.496,14.9144,95.501,51.151,11.929030000000001,2765.08885,35223.21793,8206.79271,87850.55613,1300.0,34.47991,1.244019,37.79264,2.96679,12.73335,1.18952,13.88343,-3.1127,15.30088,25.29929,1.16544,117500.0,123000.0,116000.0,116500.0,128103.0,2.284313725490195,한샘,266.0,210.0,220.0,236.0,165.0,75.0,932.0
014680,999200501.89,376929963.9,622270538.0,56475975.0,619277678.73,213876025.23,151933828.84,130080716.07,165042142.69,-51383261.84,-71634285.66,79824435.09,190049073.82,165609088.15,2300529470.03,34.536,24.534,24.5,13.421,16.6753,60.573,62.277,25.40178,10864.29428,49890.48187,14611.71256,54826.64786,1800.0,16.26458,0.9160309999999999,18.08677,3.93863,13.44812,3.58402,27.80484,0.57855,12.10492,13.89132,3.71486,247000.0,259500.0,244000.0,259500.0,117502.0,3.4370860927152314,한솔케미칼,279.0,271.0,224.0,162.0,189.5,77.0,936.0
012690,91311098.53,20100121.67,71210976.86,18885627.5,117130875.74,31777683.35,9334233.0,7918008.57,6661696.98,-14754802.49,2375647.99,902436.19,13892143.38,10094134.31,179319609.18,27.13,7.969,11.616,9.403,14.9506,28.226,77.987,44.33701,216.50907,1947.74254,182.15664,3202.81258,75.0,34.63065,1.488095,23.27847,2.58761,27.66849,1.57362,204.24616,0.9583600000000001,12.90799,17.76473,1.5309300000000001,5250.0,5460.0,5200.0,5250.0,1987825.0,0.9633027522935778,모나리자,254.0,232.0,262.0,194.0,146.0,224.0,942.0
293480,276579303.71,44197791.33,232381512.38,8100000.0,177305504.03,114022876.99,31675087.98,14892864.95,15579887.7,-842467.5,-9159502.83,987356.04,36670221.98,27432489.13,348272676.79,64.309,17.865,6.579,5.52,11.106,19.019,84.02,609.18317,837.951399,13430.58953,876.606933,9976.146013,464.86385,53.86489,1.9793919999999998,28.026906,1.74863,26.791003,2.354135,422.746069,-1.092227,9.49742,12.69563,1.96425,78400.0,78900.0,75700.0,75800.0,120220.0,5.764258555133081,하나제약,218.0,258.0,261.0,211.0,115.0,176.0,948.0
003060,615309133.79,16952930.07,598356203.72,199287883.5,53319976.2,23200975.67,-2605967.4,18917569.96,8088157.75,-195268467.27,221703837.08,7111867.27,-673920.4,7517039.78,322023148.0,43.513,-4.8870000000000005,2.9939999999999998,3.858,-2.808,2.833,97.245,-53.12013,34.59482,1268.01913,24.86551,163.9222,0.0,0.0,0.0,38.01147,1.03705,52.88449,8.0221,60.14427,1.22321,-477.83558,42.83909,6.03944,1170.0,1175.0,1155.0,1160.0,1360218.0,0.7977991746905089,에이프로젠제약,156.0,285.0,283.0,237.0,272.0,183.0,961.0
018880,7807411034.42,5567975657.01,2239435377.42,53380000.0,6872832576.67,864432448.4,315800267.52,113459524.77,795571245.78,-594485056.93,484554233.38,393528216.94,784042638.52,224681650.37,10766038336.71,12.578,4.595,5.093,1.524,5.7533,248.633,28.683,3.52546,206.75892,3967.65133,1490.39199,12875.2952,320.0,154.73702,1.969231,78.59395,4.09562,10.90317,1.26211,22.04226,-2.8671800000000003,13.73144,47.91686,1.5664600000000002,17900.0,18250.0,17800.0,18200.0,1916197.0,2.1386603995299645,한온시스템,281.0,216.0,206.0,265.0,116.0,27.0,968.0
042700,326966868.04,69876325.24,257090542.8,12716420.5,257385897.66,110673786.99,66649466.31,50131485.36,37483996.93,11667327.54,-15095281.81,30042252.24,72782343.23,65374695.0,851304485.33,42.999,25.895,21.028,17.155,27.3413,27.18,78.629,985.51607,964.90363,5227.67181,721.47164,4954.02413,400.0,39.23984,2.209945,18.75835,3.46234,25.08761,3.6536,31.30205,0.21756000000000003,11.69658,13.02192,3.3075,24600.0,26500.0,24500.0,26050.0,1781210.0,3.899700598802394,한미반도체,273.0,272.0,255.0,171.0,93.0,118.0,971.0
214390,253239176.53,97182382.66,156056793.87,11953430.0,215285095.14,52464740.2,8661432.44,9404446.29,20795227.48,-19677757.89,4418217.0,8738924.83,21249376.44,15264456.71,433160021.68,24.37,4.023,6.162,3.83,4.7695,62.274,61.624,6.62544,393.37857,6527.69932,869.84353,9005.15982,100.0,25.42081,0.611621,41.56302,2.50471,18.79648,1.81563,44.72829,-2.14203,20.3846,28.37703,2.01203,14550.0,14650.0,14350.0,14500.0,101611.0,1.8806744487678337,경보제약,252.0,243.0,237.0,241.0,215.0,161.0,973.0
004310,157501805.8,67361025.57,90140780.23,16000000.0,132965511.61,58321558.56,3052874.48,2187063.54,10804339.34,-12388137.33,7451621.54,10192428.4,7165235.77,3250093.8,212098024.25,43.862,2.296,2.52,1.439,4.527,74.729,57.232,4.9715300000000004,68.34574,3233.35999,337.6356,4155.17224,42.5,54.17447,0.655864,94.81206,2.00411,19.19229,1.5594999999999999,20.34451,2.00315,29.60098,65.25905,1.5951300000000002,7770.0,7810.0,7550.0,7560.0,642880.0,1.8712871287128718,현대약품,234.0,231.0,238.0,271.0,211.0,212.0,974.0
003090,1837532868.39,720614938.07,1116917930.33,29070990.0,1355337386.75,626457189.0,98055318.02,118379527.22,145365812.64,-30786823.19,16270597.64,113740765.65,148903883.02,150284184.38,2993994494.01,46.221,7.235,15.102,6.748,6.7965,64.518,60.784,9.33351,1692.0458,16494.66394,2500.18683,23310.82269,100.0,4.22332,0.19880699999999998,29.72733,3.04947,20.1185,2.1578,25.71234,2.11022,20.10689,19.92222,2.20904,32700.0,32900.0,32200.0,32500.0,137341.0,2.9017857142857153,대웅,267.0,252.0,239.0,217.0,238.0,62.0,975.0
330590,1584627096.55,723398275.62,861228820.93,85984442.0,38093181.1,38093181.1,23903097.05,15547730.01,36073490.95,-5286916.46,-23310917.47,36073490.95,36132960.05,24058110.01,1556144817.99,100.0,62.749,1.804,0.981,,83.996,54.349,2.76899,87.046307,4821.71948,201.962884,213.270425,155.00979,178.66012,2.8884090000000002,61.652403,1.11301,26.572282,25.163425,26.572282,,43.06718,64.68275,40.85101,5240.0,5250.0,5200.0,5240.0,217432.0,1.0860103626943007,롯데리츠,165.0,293.0,260.0,258.0,62.0,90.0,976.0
003850,647993966.27,307706406.42,340287559.85,23810000.0,561866592.45,231441597.64,39986310.79,26859761.92,44740976.18,-144524114.75,121426501.05,26470109.95,67552730.79,38905117.29,1093640865.1,41.192,7.117,8.623,4.648,6.5987,90.425,52.514,11.96097,434.615608,5570.77159,724.046106,9092.723355,74.96181,16.79723,0.47884699999999997,36.019526,2.81014,21.621062,1.721666,36.544902,-1.697823,16.18944,28.11046,1.94644,17133.0,17421.0,16927.0,17216.0,420407.0,2.017342395125381,보령제약,263.0,240.0,244.0,230.0,226.0,107.0,977.0
285130,2119966956.89,1161034163.65,958932793.23,66000330.0,1214709208.86,350312581.65,106282993.82,255161209.78,247009579.32,40982083.58,-384925327.1,152161571.32,204439077.82,42757328.91,5144244889.2,28.839,8.75,30.485,12.003,3.6824,121.076,45.233,4.35845,12895.796655,48707.07892,12525.069445,61594.037129,1333.8111,10.28239,0.509329,20.307079,5.37655,20.908148,4.251645,33.940975,0.093899,25.16273,120.31259,4.23496,309000.0,311000.0,296000.0,298000.0,87837.0,3.4213547646383473,SK케미칼,285.0,277.0,242.0,183.0,223.0,42.0,987.0
185750,946333120.17,394740342.28,551592777.89,27214212.5,1303005524.39,489139818.96,123935878.84,90404889.34,104323716.84,-63921092.96,7068802.46,71684237.29,147721446.84,124427168.06,2562297346.51,37.539,9.512,17.88,10.346,17.6868,71.564,58.287,32.01713,8019.601361,48589.41658,9130.300483,114037.654464,952.70355,11.79523,0.42062000000000005,28.243298,4.66151,24.807507,1.9861900000000001,36.102931,1.526697,17.34547,20.59275,1.96645,9550.0,9660.0,9430.0,9450.0,216001.0,2.0944148936170217,종근당,282.0,245.0,254.0,212.0,231.0,71.0,993.0
001820,234968255.22,60145258.77,174822996.45,10395000.0,242514202.41,51367022.18,27097501.74,23461780.56,32120191.35,-11152621.64,-3681854.7,25282338.83,42631690.74,27513639.08,661355965.23,21.181,11.174,14.284,10.432,16.7129,34.404,74.403,64.79525,2243.19547,16927.44178,3089.9655,23329.8896,300.0,13.20122,0.455235,29.37773,3.89309,21.3271,2.8247,27.09522,2.02115,15.51325,24.03739,2.72708,69400.0,69400.0,68500.0,69200.0,77950.0,1.7452711223203026,삼화콘덴서,278.0,263.0,243.0,215.0,228.0,130.0,999.0
075580,448124447.1,286959693.09,161164754.01,31224728.0,285564708.69,19133197.05,1183330.26,3283951.59,15714611.31,-6381010.05,452867.26,7726968.82,10242980.26,10148148.75,602792564.78,6.7,0.41400000000000003,1.188,0.767,0.0551,178.054,35.964,0.21285,32.57743,2785.14682,276.42501,5023.17399,150.0,449.68002,2.242152,205.35688,2.40203,24.20186,1.33183,49.22019,-723.89991,58.84933,59.39926,2.11088,6420.0,6460.0,6230.0,6290.0,952347.0,3.619102416570771,세진중공업,249.0,219.0,252.0,284.0,92.0,137.0,1004.0
251270,8223428815.67,2572832681.5,5650596134.17,8584530.3,2484764985.89,2484764985.89,272046487.02,338047021.96,372261914.84,-1529078237.46,866732451.87,161815896.06,383767901.02,481741964.46,10952496171.04,100.0,10.949,6.349,4.819,29.8985,45.532,68.713,11.76247,3647.33562,66079.70628,4338.58366,28959.07517,767.0,20.05452,0.5832700000000001,36.05372,1.9900200000000001,30.30943,4.54089,69.72768,-16.45549,28.53937,22.73519,4.40786,21200.0,21300.0,20750.0,21250.0,447868.0,3.3048211508553638,넷마블,231.0,280.0,268.0,231.0,218.0,26.0,1010.0
051910,41388894000.0,22598454000.0,18790440000.0,391406000.0,30076510000.0,6312224000.0,1798159000.0,682408000.0,5840832000.0,-5296375000.0,938069000.0,305041000.0,4109118000.0,1106579000.0,67405195832.0,20.987,5.979,2.926,1.81,3.3645,120.266,45.4,9.04443,6548.62692,231865.50816,74613.52474,384211.43135,10000.0,151.8399,1.213592,125.8279,3.55378,11.04357,2.14465,211.45899,-3.50584,16.40381,60.91313,2.24112,817000.0,822000.0,811000.0,819000.0,361295.0,2.8047945205479454,LG화학,275.0,249.0,207.0,280.0,167.0,3.0,1011.0
307950,1077027006.93,514645776.8,562381230.13,10500000.0,1562592548.51,170370208.67,86813994.8,60786032.66,115616622.19,-31288847.27,-50280230.26,98993137.72,144360862.8,84940470.78,2411905970.28,10.903,5.556,11.085,5.779,17.1622,91.512,52.216,21.95079,2809.40051,26429.86124,5505.55344,74409.16898,750.0,26.69609,0.607287,43.95956,4.67274,22.4319,1.6597400000000002,26.19879,16.77385,16.70748,28.39525,1.54353,103500.0,105000.0,102000.0,104500.0,285824.0,0.8228346456692911,현대오토에버,283.0,237.0,248.0,244.0,216.0,74.0,1012.0
