,Code,자산총계,부채총계,자본총계,자본금,매출액,매출총이익,영업이익,당기순이익,영업현금흐름,투자현금흐름,재무현금흐름,FCF,EBITDA,EBIT,EV,매출총이익률,영업이익률,ROE,ROA,ROIC,부채비율,자기자본비율,이자보상배율,EPS,BPS,CPS,SPS,DPS,현금배당성향,현금배당수익률,PER,PBR,PCR,PSR,P/FCF,PEG,EV/EBITDA,EV/EBIT,EV/Sales,eDate,Name,Market,Close_x,Open,High,Low,Volume,Amount,Marcap,Stocks,Yield,MDD,Close_x,Date_x,Close_y,Date_y,Ratio,PBRc,PCRc,PERc,PSRc,PEGc,P/FCFc,EVc,EV/EBITDAc,Close_y,1y_rets,MOM_rank,PBR_rank,PSR_rank,PCR_rank,PER_rank,PEG_rank,DIV_rank,EV_rank,rank_tot
79,001680,2528335046.89,1426785228.48,1101549818.41,36018248.0,3113203668.12,847089311.77,174391508.08,127010738.54,121067525.18,129795649.6,31577317.84,17250731.87,279484508.08,206977240.45,1261135035.1,27.21,5.602,12.024,5.165,8.4028,129.525,43.568,8.37693,3473.29242,30083.01026,3361.28301,86434.0672,700.0,20.16474,2.6871400000000003,7.50009,0.86594,7.75002,0.30139000000000005,54.39047,0.22476000000000002,4.51236,6.09311,0.40509,2021-04-30,대상,KOSPI,25850,26200,26250,25800,220622,5731808300,895651446250,34648025,1.202325581395349,-0.18057921635434393,23200,2019-12-30,21500,2020-05-04,0.9267241379310345,0.8024875,7.182130603448276,6.950514439655173,0.27930538793103454,0.2082905172413793,50.40496142241379,1168724278.2176723,4.1817129310344825,21900.0,0.8439306358381496,51.0,23.0,16.0,39.0,11.0,19.0,12.0,36.0,171.0
93,002100,371525656.35,160153422.9,211372233.45,10845875.0,248295523.8,80611234.23,14281976.63,13294935.51,15868144.17,6834073.54,-20879610.26,12675324.71,21548709.97,20259675.49,327808835.69,32.466,5.752,6.695,3.582,3.7719,75.768,56.893,5.09628,581.42103,10789.43027,731.529,11446.54183,250.0,35.4119,2.083333,20.63909,1.1122,16.404,1.0483500000000001,20.53604,2.75532,15.21246,16.18036,1.32024,2021-04-30,경농,KOSPI,14600,14400,14650,14250,170379,2467884950,316699550000,21691750,1.154150197628458,-0.39622641509433976,11350,2019-12-30,12650,2020-05-04,1.1145374449339207,1.2395885462555067,18.282872246696034,23.003038634361232,1.168425330396476,3.0709073127753306,22.888185550660793,365355222.156696,16.95485629955947,12050.0,0.8114478114478102,60.0,44.0,67.0,66.0,59.0,77.0,23.0,58.0,396.0
95,002150,451680724.37,194845012.56,256835711.81,16860000.0,574922988.73,574922988.73,24010625.91,17838645.78,22702661.7,-32275422.02,11392571.91,-10181987.46,28462277.91,23597410.17,226750263.58,100.0,4.176,7.004,4.145,11.121,75.864,56.862,99.70362,529.02272,7616.90853,673.26992,17049.9107,280.0,52.26387,3.435583,15.40577,1.06999,12.1051,0.47801000000000005,-26.9906,1.0236,7.96669,9.60912,0.39440000000000003,2021-04-30,도화엔지니어링,KOSPI,9240,9300,9360,9060,224646,2062107780,311572800000,33720000,1.0120481927710854,-0.24948240165631397,8930,2019-12-30,9130,2020-05-04,1.0223964165733483,1.093953941769317,12.37621086226204,15.750804042553193,0.4887157110862263,1.0465249720044794,-27.595092721164615,231828656.94125423,8.145115307950729,9020.0,0.9204081632653069,41.0,32.0,31.0,59.0,48.0,52.0,6.0,67.0,269.0
107,002410,158124589.89,76477865.89,81646724.0,24831982.0,144357123.69,22161230.14,12006624.98,10968238.01,10907038.33,-7682577.01,14048439.74,1134081.88,13417450.98,11549662.94,133922455.98,15.352,8.317,14.51,7.396,21.9787,93.669,51.634,7.34847,441.69938,3269.53559,439.23483,5813.37244,0.0,0.0,0.0,10.99164,1.48492,11.05331,0.8351400000000001,106.30529,0.09819000000000001,9.98121,11.59536,0.92771,2021-04-30,범양건영,KOSPI,4000,4105,4115,4000,233202,940275230,99327928000,24831982,1.3698630136986307,-0.48680738786279687,3270,2019-12-30,2920,2020-05-04,0.8929663608562691,1.3259836085626913,9.870234006116208,9.815164770642202,0.7457519266055047,0.08768036697247708,94.92704795107034,119588248.1533945,8.912884770642203,2940.0,1.500000000000001,8.0,50.0,45.0,53.0,26.0,4.0,82.0,84.0,268.0
126,002900,656859440.05,486125601.89,170733838.17,67477245.0,713300783.4,125070729.08,29086927.86,6416878.43,55636850.63,-12667957.2,-15143075.71,40383475.96,45680186.86,17363218.18,314554110.53,17.534,4.078,2.982,0.998,8.1445,284.727,25.992,2.36013,28.03156,961.06817,441.20366,5656.51925,0.0,0.0,0.0,56.18666,1.6388,3.56978,0.27844,4.91813,2.00387,6.88601,18.11612,0.44098000000000004,2021-04-30,TYM,KOSPI,1650,1645,1665,1625,1622284,2664657330,225847982250,136877565,1.6336633663366298,-0.19945355191256975,1290,2019-12-30,1010,2020-05-04,0.7829457364341085,1.283091472868217,2.794944031007752,43.99110589147287,0.2180034108527132,1.568921472868217,3.8506289147286816,246278799.7172868,5.391372170542635,1010.0,0.5754985754985759,91.0,46.0,9.0,7.0,74.0,62.0,82.0,65.0,371.0
131,003010,207882894.06,109699110.5,98183783.55,6356373.5,217540949.89,34176144.24,8819184.38,4815521.11,19184941.0,-771997.59,-22172311.99,18612975.4,14101702.62,10062664.85,105918361.44,15.71,4.054,4.97,2.26,4.2356,111.728,47.23,2.78477,413.14518,9975.15301,1509.11058,17112.03329,120.0,24.55726,2.312139,12.56217,0.52029,3.43911,0.3033,3.54479,0.33066,7.51103,10.52587,0.48689000000000004,2021-04-30,혜인,KOSPI,7450,7490,7630,7420,304003,2285698890,94709965150,12712747,1.6301969365426736,-0.2691693290734827,4315,2019-12-30,4570,2020-05-04,1.05909617612978,0.5510371494785632,3.6423482502896873,13.304546210892237,0.32122387022016224,0.35020074159907305,3.754273534183082,112177731.58303593,7.954903151796061,4355.0,0.8806875631951464,46.0,4.0,19.0,16.0,41.0,26.0,19.0,88.0,171.0
133,003060,615309133.79,16952930.07,598356203.72,199287883.5,53319976.2,23200975.67,-2605967.4,18917569.96,8088157.75,-195268467.27,221703837.08,7111867.27,-673920.4,7517039.78,322023148.0,43.513,-4.8870000000000005,2.9939999999999998,3.858,-2.808,2.833,97.245,-53.12013,34.59482,1268.01913,24.86551,163.9222,0.0,0.0,0.0,38.01147,1.03705,52.88449,8.0221,60.14427,1.22321,-477.83558,42.83909,6.03944,2021-04-30,에이프로젠제약,KOSPI,1190,1220,1230,1185,2159910,2591660700,474305162730,398575767,0.5920398009950247,-0.55,1355,2019-12-30,2010,2020-05-04,1.4833948339483394,1.5383546125461254,78.44857926199262,56.38601822878229,11.899941697416974,1.8145033948339482,89.21769940959409,477687474.1549815,-708.8188308487084,2100.0,0.795454545454546,62.0,55.0,92.0,90.0,80.0,70.0,82.0,49.0,531.0
136,003090,1837532868.39,720614938.07,1116917930.33,29070990.0,1355337386.75,626457189.0,98055318.02,118379527.22,145365812.64,-30786823.19,16270597.64,113740765.65,148903883.02,150284184.38,2993994494.01,46.221,7.235,15.102,6.748,6.7965,64.518,60.784,9.33351,1692.0458,16494.66394,2500.18683,23310.82269,100.0,4.22332,0.19880699999999998,29.72733,3.04947,20.1185,2.1578,25.71234,2.11022,20.10689,19.92222,2.20904,2021-04-30,대웅,KOSPI,36300,37700,38250,36200,634894,23345342900,2110553874000,58141980,2.220183486238532,-0.6061776061776062,12950,2019-12-30,16350,2020-05-04,1.2625482625482625,3.85010305019305,25.40057722007722,37.53218884169884,2.7243266409266407,2.6642545945945946,32.46307019305019,3780062546.49139,25.385919034749033,17400.0,0.8149882903981243,59.0,85.0,80.0,74.0,73.0,75.0,63.0,16.0,509.0
163,003720,108988416.83,63239099.92,45749316.91,17000000.0,117657776.92,15850525.85,1317049.49,1150858.14,10777287.1,-7400742.64,-980071.13,2818156.62,8227926.49,1079120.76,117384300.68,13.472,1.119,0.489,1.066,2.2324,138.23,41.976,2.7047,6.3154900000000005,1297.88957,316.97903,3460.52285,0.0,0.0,0.0,410.8942,1.9994,8.18666,0.7498900000000001,31.3077,15.68195,14.26657,108.77772,0.9976700000000001,2021-04-30,삼영화학,KOSPI,2930,2980,3020,2850,301507,881004265,99620000000,34000000,2.4115226337448545,-0.25685425685425656,998,2019-12-30,1215,2020-05-04,1.217434869739479,2.4341392785571143,9.966725350701402,500.2369268537075,0.912942234468938,19.091752755511024,38.11508567134269,142907740.80781564,17.36861978957916,1205.0,1.2221095334685614,14.0,78.0,57.0,54.0,94.0,93.0,82.0,80.0,472.0
164,003780,70722583.81,27292881.21,43429702.6,6500000.0,64314340.75,14517914.71,7890467.52,5136548.71,8143104.45,-7649651.89,1410914.23,7133246.57,9941737.12,7066495.3,64526906.27,22.573,12.269,12.159,8.202,13.9198,62.844,61.409,76.24396,395.11913,3340.74635,626.39265,4947.25698,180.0,45.55588,3.557312,12.80626,1.51463,8.078,1.02279,9.22161,0.28087,6.4905100000000004,9.13139,1.0033,2021-04-30,진양산업,KOSPI,5510,5610,5610,5490,182645,1009109500,71630000000,13000000,1.7947882736156389,-0.4284210526315787,3990,2019-12-30,3070,2020-05-04,0.7694235588972431,1.1653920050125313,6.21540350877193,9.853438145363409,0.7869587218045113,0.2161079949874687,7.095323984962406,49648521.86689223,4.993951303258146,3065.0,0.8455172413793087,50.0,38.0,52.0,34.0,27.0,20.0,4.0,94.0,225.0
