,종목명,현재가,거래량,자본금(백만원),자본총계(백만원),영업이익증가율,영업이익(원),매출액영업이익률,EBITDA(백만원),시가총액,배당수익률,부채비율,이자보상비율,결산년월,PBR,PSR,PCR,PER,ROE,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,rank_tot
556,롯데쇼핑,103000.0,53539.0,141443.0,856151,-19.1200008392334,346084000000.0,2.140000104904175,1620830.0,29137.0,2.7100000381469727,196.05999755859375,0.7099999785423279,202012,0.29383656410914744,0.18389737455253127,1.7678154606618153,0.0,-7.699999809265137,2.0,37.0,84.0,68.0,81.0,191.0
336,AK홀딩스,24500.0,46258.0,66237.0,169944,0.0,-221554000000.0,-8.460000038146973,58509.0,3246.0,1.6299999952316284,233.89999389648438,0.0,202012,0.5235490212838704,0.11547398536072659,1.495543889634965,0.0,-20.56999969482422,46.0,12.0,71.0,68.0,155.0,197.0
477,디와이,5640.0,159473.0,13159.0,63068,-5.389999866485596,41721000000.0,5.28000020980835,79983.0,1484.0,1.7699999809265137,70.30000305175781,10.5600004196167,202012,0.42498681335242255,0.16078912107648888,1.9761737911702872,0.0,-3.390000104904175,17.0,28.0,91.0,68.0,144.5,204.0
30,롯데손해보험,1805.0,543791.0,310336.0,316779,0.0,-31011000000.0,-0.75,4294959337.0,5602.0,0.0,1627.1500244140625,0.0,202012,0.5654761904761905,0.1635408172510646,1.6590073529411764,0.0,-2.5199999809265137,64.0,32.0,80.0,68.0,444.0,244.0
956,서연이화,6960.0,76461.0,13514.0,55709,121.54000091552734,48464000000.0,2.4700000286102295,135342.0,1881.0,1.4299999475479126,185.38999938964844,2.609999895095825,202012,0.29617021276595745,0.08500659533929357,1.1782630777044185,6.619999885559082,-6.800000190734863,3.0,3.0,63.0,210.0,183.0,279.0
476,화승코퍼레이션,2420.0,134239.0,25025.0,92682,-78.83999633789062,13738000000.0,1.0499999523162842,75468.0,1211.0,1.0299999713897705,436.42999267578125,0.550000011920929,202012,0.7653383934218849,0.10160809505815174,1.526813880126183,0.0,-17.139999389648438,141.0,6.0,72.0,68.0,231.0,287.0
663,다스코,5100.0,59800.0,8738.0,59004,0.0,-7198000000.0,-3.2100000381469727,4294965680.0,861.0,0.0,108.87999725341797,0.0,202012,0.6852996506315506,0.2926661310685183,-25.757575757575758,0.0,-6.539999961853027,102.0,90.0,29.0,68.0,444.0,289.0
400,KC그린홀딩스,4775.0,63444.0,11217.0,73435,0.0,-47920000000.0,-7.039999961853027,4294946913.0,1071.0,0.8299999833106995,252.77000427246094,0.0,202012,0.6856691556576681,0.1613775389502856,1.9513690232938292,0.0,-22.989999771118164,103.0,29.0,89.0,68.0,263.0,289.0
87,세아베스틸,21150.0,182342.0,219310.0,332910,0.0,-3332000000.0,-0.12999999523162842,178051.0,7585.0,0.9399999976158142,91.41999816894531,0.0,202012,0.43890595168921726,0.24873574032694343,3.419563459983832,0.0,-14.180000305175781,20.0,64.0,139.0,68.0,244.0,291.0
89,현대해상,25500.0,436295.0,44700.0,1125265,-27.469999313354492,286763000000.0,1.6200000047683716,395717.0,22797.0,3.9200000762939453,923.8800048828125,0.0,202012,0.49360252414780975,0.12825542445001056,1.0598944262022527,5.900000095367432,7.130000114440918,34.0,18.0,60.0,191.0,33.0,303.0
