date,Code,자산총계,부채총계,자본총계,자본금,매출액,매출총이익,영업이익,당기순이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,FCF,EBITDA,EBIT,EV,매출총이익률,영업이익률,ROE,ROA,ROIC,부채비율,자기자본비율,이자보상배율,EPS,BPS,CPS,SPS,DPS,현금배당성향,현금배당수익률,PER,PBR,PCR,PSR,P/FCF,PEG,EV/EBITDA,EV/EBIT,EV/Sales,eDate,Name,Market,Close,Open,High,Low,Volume,Amount,Marcap,Stocks,Yield,MDD,PBR_rank,PSR_rank,PCR_rank,PER_rank,PEG_rank,DIV_rank,EV_rank,rank_tot
2013-08-01,058730,107762576.41,37030233.32,70732343.09,6487500.0,108245159.83,21427000.86,9081609.92,7553390.24,8582601.0,-12520395.54,8965989.09,-1373089.0,11262245.41,10293933.18,48570343.21,19.795,8.39,11.265,7.661,8.5889,52.353,65.637,16.08079,588.456675,5636.64203,668.638672,8432.979719,95.68601,15.87465,3.095522,5.252908,0.5484,4.622986,0.366554,-28.896366,0.039715,4.31267,4.71835,0.44871000000000005,2014-08-01,동아에스텍,KOSPI,5620,5690,5760,5330,406947,2248735260,70531000000,12550000,1.8070739549839225,-0.11764705882352933,3.0,18.0,13.0,2.0,1.0,4.0,72.0,41.0
2013-08-01,051630,44339143.41,17017621.02,27321522.39,6000000.0,70268217.01,11547048.41,5104811.83,3580982.25,4732797.51,-2338053.18,-1856000.0,3731945.13,6030445.42,4877793.57,19999323.59,16.433,7.265,13.579,8.436,12.9391,62.287,61.619,2377.60444,298.41519,2276.79353,394.39979,5855.68475,185.0,61.99416,9.25,6.70207,0.87843,5.071,0.34155,6.43096,0.08102000000000001,3.31639,4.10008,0.28461000000000003,2014-08-01,진양화학,KOSPI,3595,3600,3650,3555,97940,350841560,43140000000,12000000,1.9122340425531923,-0.13043478260869534,17.0,15.0,21.0,4.0,3.0,1.0,75.0,61.0
2013-08-01,003030,1995560542.28,896115780.6,1099444761.68,30000000.0,2219155488.12,304691782.86,154607297.21,116649702.08,148458393.13,-104952857.9,-64306113.61,15289690.67,192189297.21,162004875.54,929632482.03,13.73,6.967,11.014,5.795,8.1537,81.506,55.095,10.9744,18906.70115,185062.9496,24743.06552,369859.24802,1500.0,7.68773,1.527095,5.195283,0.5307700000000001,3.969831,0.265577,38.545859,0.7262700000000001,4.83707,5.7383,0.41891000000000006,2014-08-01,세아제강,KOSPI,98500,95000,99300,95000,42107,4128179500,591000000000,6000000,0.8794642857142864,-0.32456140350877183,1.0,10.0,8.0,1.0,39.0,25.0,23.0,84.0
2013-08-01,012280,98358355.71,49489299.45,48869056.26,23597333.0,165535386.93,17459176.81,7075887.56,5076835.57,16343304.54,-3611483.92,-12608268.61,11787651.19,11504928.88,8525790.1,70466143.436,10.547,4.275,10.869,4.978,5.9688,101.269,49.685,4.00335,107.57223,1035.47838,346.29559,3507.50203,20.0,18.59215,2.244669,8.28281,0.8604700000000001,2.57295,0.25403000000000003,3.56733,0.7910200000000001,6.12486,8.26506,0.42568000000000006,2014-08-01,영화금속,KOSPI,1120,1110,1130,1105,311888,348699335,52858025920,47194666,1.0616113744075835,-0.2091324200913247,16.0,9.0,2.0,13.0,43.0,15.0,70.0,98.0
2013-08-01,000390,475571108.61,224709731.79,250861376.81,11200000.0,499092724.29,106714110.38,43477004.92,29170489.07,30422771.65,-27540674.82,1941427.61,4461394.17,51138219.17,45529444.26,297101362.36,21.382,8.711,12.328,6.48,10.1269,89.575,52.749,8.64314,1299.93549,11574.10535,1358.15945,22280.92519,300.0,22.31972,2.8571429999999998,8.07732,0.9072,7.73105,0.47126,52.71895,0.14915,5.80977,6.52548,0.59528,2014-08-01,삼화페인트,KOSPI,15350,15200,15900,15100,89462,1385323000,343840000000,22400000,2.4638844301765643,-0.24267782426778284,19.0,26.0,33.0,12.0,7.0,6.5,45.0,103.5
2013-08-01,014440,168014019.76,70916503.54,97097516.22,10000000.0,163838811.25,35223383.22,12172337.03,8460211.15,14355425.94,-8546907.29,-2194380.39,3557588.27,17707637.03,12340672.48,102570569.59,21.499,7.429,9.193,5.31,7.4039,73.036,57.791,8.42551,421.50448,4891.20258,717.7713,8191.94056,100.0,23.13143,2.751032,8.62387,0.7431700000000001,5.06429,0.44373,20.43519,0.6376700000000001,5.7924500000000005,8.31158,0.62604,2014-08-01,영보화학,KOSPI,5170,4960,5180,4960,157717,809845310,103400000000,20000000,1.6055900621118004,-0.14768460575719689,13.0,23.0,20.0,17.0,35.0,8.0,64.0,116.0
2013-08-01,003690,7619993084.66,6169053892.94,1450939191.71,59058390.5,5940631407.25,,164570439.09,123867971.0,640762786.22,-706883177.74,-28234334.67,,166226439.09,162714870.33,488361591.08,0.0,2.77,8.651,1.659,,425.177,19.041,,1029.067716,12631.2347,5323.315559,49353.452301,171.72542,15.91044,1.499785,11.126579,0.9064800000000001,2.150918,0.23200099999999999,,0.707927,2.93793,3.00133,0.08221,2014-08-01,코리안리,KOSPI,11300,11200,11350,11150,199282,2244878100,1360171010800,120369116,0.9783549783549782,-0.24218749999999956,18.0,5.0,1.0,34.0,38.0,26.0,32.0,122.0
2013-08-01,008350,237576875.05,166749139.17,70827735.88,55243490.0,353378515.32,40944648.66,13600289.16,9655704.97,15754792.6,-3902302.18,-12499244.13,11641355.13,19098780.48,15553503.61,149612603.73,11.587,3.849,14.612,4.072,8.6202,235.429,29.813,3.16202,87.39224,641.05052,142.59411,3198.37247,0.0,0.0,0.0,7.10589,0.96872,4.35502,0.19416000000000003,5.8938500000000005,0.2214,7.83362,9.61922,0.42338000000000003,2014-08-01,남선알미늄,KOSPI,1345,1300,1345,1285,1133188,1498762590,148190876050,110179090,2.69,-0.2836676217765043,25.0,3.0,12.0,5.0,12.0,70.0,59.0,127.0
2013-08-01,041650,267736469.46,167631816.67,100104652.79,10735725.0,305341600.76,69108771.52,26077595.95,17753335.9,28699356.22,-24183845.89,507540.06,1932320.32,40586274.22,26393232.59,210848173.59,22.633,8.54,19.129,7.078,10.9942,167.457,37.389,6.70044,788.70525,4962.75681,1336.6287,14220.81884,140.0,16.00531,2.473498,7.17632,1.1405,4.23453,0.39801000000000003,62.89247,0.9379000000000001,5.19506,7.98872,0.6905300000000001,2014-08-01,상신브레이크,KOSPI,9110,9100,9150,9000,38851,353441180,195604909500,21471450,1.821999999999996,-0.17975830815710026,34.0,21.0,11.0,6.0,48.0,13.0,54.0,133.0
2013-08-01,008250,382494365.38,239400471.19,143093894.18,44367020.0,228538092.21,45684674.0,23024642.45,10500735.27,25891814.02,-14977427.55,9185079.7,7192435.24,29471975.03,21526957.42,244733056.48,19.99,10.075,7.957,2.859,5.8586,167.303,37.411,2.77643,1198.21652,15296.99792,3019.01907,26647.83776,150.0,12.96291,1.181102,10.59909,0.83023,4.20666,0.47659,15.14343,0.22827000000000003,8.30392,11.36868,1.07086,2014-08-01,이건산업,KOSPI,13550,12150,13600,12050,198984,2567979850,126729505050,9352731,1.1483050847457634,-0.3484042553191484,15.0,27.0,10.0,30.0,13.0,38.0,52.0,133.0
2014-08-01,002140,156033056.39,79915240.94,76117815.45,24939425.0,185090599.66,28159910.59,10687543.32,9047448.64,16939311.06,-12495658.69,-4242770.13,14240268.63,11854333.9,11495427.47,86851860.63,15.214,5.774,12.738,5.944,11.6554,104.989,48.783,7.33173,362.69599,3133.71372,679.21819,7421.60654,45.0,12.00909,2.319588,5.34883,0.61907,2.85623,0.2614,3.39758,0.19465000000000002,7.32659,7.55534,0.46924000000000005,2015-07-31,고려산업,KOSPI,2400,2445,2445,2380,73159,175577770,59854620000,24939425,0.7535321821036111,-0.4503816793893124,7.0,18.0,6.0,2.0,17.0,26.0,118.0,76.0
2014-08-01,002460,524203233.26,258282872.55,265920360.71,62254000.0,420675409.74,35987869.54,15211514.61,23652904.94,36693782.88,-3209832.53,2965730.0,34772194.68,18036310.61,21294955.96,37602638.1,8.555,3.616,9.393,5.013,31.9877,97.128,50.728,43.03505,1899.70965,21958.44785,2947.10243,33787.01848,400.0,20.47979,3.319502,6.34307,0.54876,4.08876,0.35665,4.31472,0.20196000000000003,2.08483,1.7658,0.08939000000000001,2015-07-31,화성산업,KOSPI,25500,24650,25500,23900,89264,2213943425,317495400000,12450800,1.7832167832167827,-0.2999999999999998,4.0,26.0,19.0,5.0,18.0,5.0,126.0,77.0
2014-08-01,006650,1440420696.89,598303884.37,842116812.52,41000000.0,2053406683.33,124404598.02,69904495.26,63848817.81,77473943.37,-172461926.62,79378910.02,-86294514.63,104544781.26,84983887.37,772350809.87,6.058,3.404,7.918,4.569,4.8901,71.048,58.463,8.96118,9864.24723,135383.57574,11919.06821,315908.72051,1500.0,14.44868,2.115656,7.18757,0.5237,5.94845,0.22443000000000002,-5.34043,0.24997000000000003,7.3877500000000005,9.0882,0.37613,2015-07-31,대한유화,KOSPI,180000,195000,196000,175000,116471,21171530000,1170000000000,6500000,2.5423728813559303,-0.23399558498896256,2.0,7.0,37.0,9.0,24.0,30.0,56.0,109.0
2014-08-01,145990,1081397671.14,505985291.4,575412379.74,31506495.0,1355143873.0,198758037.13,37238635.31,30475104.2,60386564.41,-48203219.8,42059127.35,30181823.11,56885635.31,40629592.13,524686673.73,14.667,2.748,6.058,3.273,5.9999,87.934,53.21,24.07152,5779.37233,96498.00279,11451.85385,256992.75547,1500.0,29.37076,2.431118,10.6759,0.63939,5.38777,0.24008000000000002,10.77964,0.15117,9.22354,12.9139,0.38718,2015-07-31,삼양사,KOSPI,86000,85600,88400,82800,33119,2820241300,527749234000,6136619,1.4601018675721553,-0.3764705882352941,9.0,14.0,33.0,32.0,10.0,20.0,67.0,118.0
2014-08-01,004800,13662073774.0,10766805036.0,2895268738.0,175587275.0,12177134355.0,1611526054.0,600346262.0,291989965.0,906794396.0,-469457590.0,-379757763.0,130003929.0,1121189262.0,668178072.0,9738376459.0,13.234,4.93,9.988,2.143,5.111,371.876,21.192,2.90415,7666.5415,83924.14743,25821.75719,346754.46598,2000.0,24.71394,2.472006,10.553118,0.9640400000000001,3.133249,0.23332599999999998,21.854816,0.12499,8.68576,14.57452,0.79973,2015-07-31,효성,KOSPI,142500,135500,142500,129000,242534,33338835000,5004237337500,35117455,1.850649350649352,-0.26951219512195135,41.0,11.0,9.0,31.0,7.0,19.0,15.0,118.0
2014-08-01,009070,333591385.59,168627349.58,164964036.01,15000000.0,356096649.43,55484857.56,15270676.54,17100040.48,12233425.55,-36862881.01,13139877.09,-25600443.09,22628451.54,24296838.78,173843608.24,15.581,4.288,10.72,5.3629999999999995,5.5698,102.221,49.451,4.51021,552.91666,5455.15778,407.78085,11869.88831,30.0,5.40873,1.018676,5.3263,0.53986,7.22202,0.24811000000000002,-3.45111,0.06902000000000001,7.68252,7.15499,0.48819,2015-07-31,KCTC,KOSPI,3515,3605,3615,3455,30691,107306580,105450000000,30000000,1.0218023255813948,-0.2769230769230767,3.0,16.0,48.0,1.0,3.0,70.0,105.0,141.0
2014-08-01,010690,927526528.22,549906136.93,377620391.29,17460205.0,1313606242.76,132540489.08,41151814.56,43899943.17,69993489.67,-92248724.33,90071238.31,-17381191.12,88345330.88,28086569.61,406091179.07,10.09,3.133,12.412,5.1370000000000005,13.6214,145.624,40.713,4.46627,1259.34916,10824.74276,2004.37193,37617.14833,100.0,7.89613,1.373626,5.78076,0.6725300000000001,3.63206,0.19353,-14.62619,0.7000400000000001,4.59663,14.45855,0.30914,2015-07-31,화신,KOSPI,6150,6130,6260,6090,54682,335731800,214760521500,34920410,0.5168067226890762,-0.5021097046413494,11.0,5.0,16.0,3.0,64.0,53.0,74.0,152.0
2014-08-01,015760,163708289000.0,108883279000.0,54825010000.0,3209820000.0,57474883000.0,7711931000.0,5787565000.0,2798967000.0,12045692000.0,-14460333000.0,1985176000.0,-2501807000.0,13661024000.0,6389474000.0,89108964087.9,13.418,10.07,5.174,1.7530000000000001,3.1793,198.601,33.489,2.46109,4185.39463,83495.84178,18763.81005,89529.7495,500.0,11.9463,1.17096,10.20214,0.5114000000000001,2.2756600000000002,0.47694000000000003,-10.95683,0.24947000000000003,6.52286,13.94621,1.5504,2015-07-31,한국전력,KOSPI,50900,49300,50900,49000,1890287,95048321900,32675971519300,641964077,1.180974477958235,-0.20829120323559114,1.0,46.0,1.0,29.0,23.0,61.0,2.0,161.0
2014-08-01,010420,114755469.05,73420756.76,41334712.29,13795498.5,265564902.97,22849173.88,4096294.78,2629126.55,10279947.66,-81166.68,-3661937.3,9924190.64,5460115.78,4058487.45,21680137.02,8.604,1.542,6.492,2.144,21.3976,177.625,36.02,12.1594,95.28929,1498.12324,372.58341,9625.05643,15.0,15.74154,1.277883,12.318451,0.7835200000000001,3.150483,0.12195399999999999,3.263415,0.34776599999999996,3.97064,5.34192,0.08164,2015-07-31,한솔PNS,KOSPI,1235,1205,1245,1195,206912,251457070,34074881295,27590997,0.9999999999999986,-0.21917808219178148,24.0,1.0,10.0,44.0,34.0,56.0,130.0,169.0
2014-08-01,012280,104415471.84,51861749.36,52553722.48,23597333.0,160281646.88,19629757.12,9236135.55,7226204.65,11934342.62,-8174365.0,-4242470.42,-233782.43,12958391.12,10267155.69,88766423.95,12.247,5.7620000000000005,14.763,7.805,8.9422,98.683,50.331,8.7668,153.11486,1156.27193,252.87482,3396.1814,30.0,18.86924,2.34375,8.35974,1.10701,5.06179,0.37689000000000006,-258.39911,0.38758000000000004,6.85011,8.64567,0.55381,2015-07-31,영화금속,KOSPI,1560,1600,1620,1535,571488,892466220,70903569360,45451006,1.392857142857144,-0.21787709497206664,49.0,30.0,29.0,15.0,37.0,23.0,115.0,183.0
2015-08-01,034220,22577160000.0,9872204000.0,12704956000.0,1789079000.0,28383884000.0,4314312000.0,1625566000.0,1023456000.0,2726577000.0,-2731929000.0,-174498000.0,361589000.0,5001422000.0,1504500000.0,10484049435.0,15.2,5.727,8.183,4.494,9.499,77.704,56.273,12.73975,2701.25934,34076.06765,7620.05971,79325.42926,500.0,18.50989,2.03666,9.08835,0.72045,3.22176,0.30948000000000003,24.29381,0.1499,2.09621,6.96846,0.36937000000000003,2016-08-01,LG디스플레이,KOSPI,31600,31450,31600,31000,1310937,41190611150,11306976120000,357815700,1.4170403587443938,-0.1911196911196913,20.0,16.0,11.0,22.0,16.0,30.0,15.0,115.0
2015-08-01,025530,260302124.0,44067198.0,216234926.0,7467004.0,185141914.0,56145181.0,23545362.0,24782539.0,27165813.0,-18561363.0,3322833.0,18343400.0,28229651.0,31706911.0,33787956.48,30.325,12.717,8.896,9.915,13.157,20.379,83.071,124.5042,747.46833,9455.35442,1819.05708,12397.33593,200.0,24.28085,3.442341,7.7729,0.6144700000000001,3.19396,0.46865,4.73013,0.5710000000000001,1.1969,1.06563,0.1825,2016-08-01,SJM홀딩스,KOSPI,5780,5650,5820,5650,43363,249708680,86318566240,14934008,1.1377952755905558,-0.16181229773462735,10.0,39.0,9.0,15.0,55.0,7.0,152.0,135.0
2015-08-01,000370,11803377681.0,10942467553.0,860910129.0,453694575.0,5747085152.0,,119130010.0,95766792.0,331594136.0,-344241333.0,-30000000.0,,144970790.0,117056560.0,670689188.0,0.0,2.073,13.155,0.865,,1271.035,7.294,,1045.726244,9400.71192,3620.844801,62755.341967,69.3577,6.63249,0.9084829999999999,7.300624,0.8121100000000001,2.108476,0.121652,,0.378689,4.62637,5.72962,0.11670000000000001,2016-08-01,한화손해보험,KOSPI,6900,7040,7090,6820,188836,1317266110,626098513500,90738915,1.053435114503816,-0.20588235294117652,29.0,2.0,1.0,12.0,40.0,82.0,66.0,166.0
2015-08-01,032640,11950998000.0,7502595000.0,4448403000.0,2573969000.0,10795218000.0,10795218000.0,632331000.0,351232000.0,1792908000.0,-1510693000.0,-406050000.0,417483000.0,2241274000.0,616539000.0,8802630154.4,100.0,5.858,8.149,2.931,5.9706,168.658,37.222,3.36439,804.93783,10187.43997,4106.41628,24725.00481,250.0,31.0583,2.403846,12.92025,1.02086,2.53262,0.42063000000000006,10.87651,0.12329000000000001,3.92751,14.27749,0.81542,2016-08-01,LG유플러스,KOSPI,11400,11000,11450,10950,1470038,16533673300,4977369515400,436611361,0.9743589743589745,-0.30852713178294566,47.0,30.0,6.0,48.0,12.0,25.0,18.0,168.0
