code,name_x,marginrate,unit,industry,market_x,control,supervision,status,capital,fiscalmonth,groupcode,kospi200kind,section,off,listeddate,maxprice,minprice,ydopen,ydhigh,ydlow,ydclose,creditenabled,parpricechangetype,spac,biglisting,groupname,industryname,membername,종목코드,현재가,시가,고가,저가,거래량,거래대금(원),총상장주식수(천주),외국인보유비율,미결제약정,상한가,하한가,외국인순매매(주),52주최고가,52주최저가,연중주최저가,연중최저가,PER,EPS,자본금(백만원),액면가,배당률,배당수익률,부채비율,유보율,ROE,매출액증가율,경상이익증가율,순이익증가율,매출액(백만원),경상이익(원),당기순이익(원),BPS,영업이익증가율,영업이익(원),매출액영업이익률,매출액경상이익률,이자보상비율,결산년월,분기BPS,분기매출액증가율,분기영업이익증가율,분기경상이익증가율,분기순이익증가율,분기매출액,분기영업이익,분기경상이익(원),분기당기순이익(원),분기매출액영업이익률,분기매출액경상이익률,분기ROE,분기이자보상비율,분기유보율,분기부채비율,최근분기년월,프로그램순매수,당일외국인순매수,당일기관순매수,SPS,CFPS,EBITDA(백만원),신용잔고율,베타계수,당일개인순매수,name_y,close,diff,diffratio,volume,시가총액,시가총액비중,외인비중,지수영향,기여도,market_y,date
371160,TIGER 차이나항셍테크,100,1,000,1,0,0,0,0,12,0,0,10,0,20201216,11035,5945,8630,8635,8465,8490,0,0,0,0,,,,A371160,8460.0,8375.0,8475.0,8330.0,712295.0,5976780000.0,40000000.0,0.7599999904632568,0.0,11035.0,5945.0,0.0,13785.0,7570.0,13785.0,7570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-71828.0,31227.0,0.0,0.0,0.0,0.15000000596046448,0.9399999976158142,39758.0,,,,,,,,,,,,
371450,TIGER 글로벌클라우드컴퓨팅INDXX,100,1,000,1,0,0,0,0,12,0,0,10,0,20201208,16915,9115,13090,13090,12960,13015,0,0,0,0,,,,A371450,12900.0,12880.0,12930.0,12830.0,66378.0,854240000.0,4200000.0,0.0,0.0,16915.0,9115.0,0.0,13500.0,9745.0,13500.0,9745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-25454.0,-6672.0,0.0,0.0,0.0,0.0,0.5099999904632568,31980.0,,,,,,,,,,,,
371460,TIGER 차이나전기차SOLACTIVE,100,1,000,1,0,0,0,0,12,0,0,10,0,20201208,25170,13560,19605,19615,19140,19365,0,0,0,0,,,,A371460,19400.0,19350.0,19585.0,19270.0,4866911.0,94379630000.0,145000000.0,0.0,0.0,25170.0,13560.0,0.0,20725.0,9845.0,20725.0,9845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-454638.0,-731718.0,0.0,0.0,0.0,0.2800000011920929,0.8799999952316284,1157363.0,,,,,,,,,,,,
371470,TIGER 차이나바이오테크SOLACTIVE,100,1,000,1,0,0,0,0,12,0,0,10,0,20201208,14655,7895,11470,11480,11215,11275,0,0,0,0,,,,A371470,11260.0,11275.0,11300.0,11170.0,32585.0,366390000.0,8280000.0,1.8799999952316284,0.0,14655.0,7895.0,0.0,14465.0,9775.0,14465.0,10300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15940.0,-6131.0,0.0,0.0,0.0,0.0,0.6600000262260437,-9841.0,,,,,,,,,,,,
371870,KINDEX 차이나항셍테크,100,1,000,1,0,0,0,0,12,0,0,10,0,20201216,10870,5860,8625,8625,8365,8365,0,0,0,0,,,,A371870,8370.0,8300.0,8400.0,8225.0,3960.0,32840000.0,600000.0,1.4500000476837158,0.0,10870.0,5860.0,0.0,14900.0,7510.0,14900.0,7510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1056.0,-677.0,0.0,0.0,0.0,0.0,0.8600000143051147,-617.0,,,,,,,,,,,,
372330,KODEX 차이나항셍테크,100,1,000,1,0,0,0,0,12,0,0,10,0,20201216,11050,5950,8625,8630,8480,8500,0,0,0,0,,,,A372330,8475.0,8395.0,8490.0,8340.0,305120.0,2566210000.0,18650000.0,0.3199999928474426,0.0,11050.0,5950.0,0.0,13665.0,7595.0,13665.0,7595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-105818.0,97937.0,0.0,0.0,0.0,0.009999999776482582,0.8999999761581421,7881.0,,,,,,,,,,,,
372910,한컴라이프케어,100,1,014,1,0,0,0,0,12,0,0,1,0,20210817,10550,5710,8250,8320,8070,8150,0,0,0,0,,,,A372910,8220.0,8120.0,8470.0,8110.0,325605.0,2717720000.0,27674406.0,0.23000000417232513,0.0,10550.0,5710.0,1287.0,17600.0,7480.0,17600.0,7480.0,0.0,0.0,5534.0,200.0,0.0,0.0,343.2300109863281,860.0900268554688,0.0,128.0399932861328,0.0,0.0,151841.0,32334000000.0,27689000000.0,4643.0,323.70001220703125,38717000000.0,25.5,21.299999237060547,5.619999885559082,202012,4265.0,-32.09000015258789,-85.0,-80.19999694824219,-76.19999694824219,78598.0,4828000000.0,5305000000.0,5196000000.0,6.139999866485596,6.75,8.890000343322754,10.989999771118164,2032.5999755859375,85.61000061035156,202109,16029.0,14527.0,-142.0,0.0,3013.0,45253.0,0.1599999964237213,1.0800000429153442,-16003.0,한컴라이프케어,8220.0,70.0,0.8600000143051147,325605.0,2275.0,0.009999999776482582,0.23000000417232513,0.003000000026077032,0.0035000001080334187,kospi,20211120
373490,KODEX K-이노베이션액티브,100,1,000,1,0,0,0,0,12,0,0,10,0,20201224,15015,8085,11555,11585,11495,11550,0,0,0,0,,,,A373490,11555.0,11570.0,11620.0,11555.0,2441.0,28220000.0,550000.0,0.0,0.0,15015.0,8085.0,0.0,12559.0,9940.0,12685.0,10295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,557.0,0.0,0.0,0.0,0.0,1.1399999856948853,-557.0,,,,,,,,,,,,
373530,ARIRANG 신흥국MSCI인버스(합성 H),100,1,000,1,0,0,0,0,12,0,0,10,0,20201216,11885,6405,9145,9155,9145,9145,0,0,0,0,,,,A373530,9220.0,9160.0,9220.0,9160.0,200.0,1830000.0,720000.0,0.0,0.0,11885.0,6405.0,0.0,10050.0,8570.0,9785.0,8570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,180.0,0.0,0.0,0.0,0.0,-0.7099999785423279,-180.0,,,,,,,,,,,,
373790,KOSEF 미국방어배당성장나스닥,100,1,000,1,0,0,0,0,12,0,0,10,0,20201224,15760,8490,12130,12130,12105,12125,0,0,0,0,,,,A373790,12100.0,12165.0,12170.0,12050.0,287.0,3470000.0,600000.0,0.0,0.0,15760.0,8490.0,0.0,12347.0,9731.0,12415.0,9830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.17000000178813934,-24.0,,,,,,,,,,,,
